[   0.0s] loading gold from runs/encoder_gold_v4b_all.jsonl
[   1.0s] 986 gold records
[   1.0s] holdout mode: 98 held-out sentences, pool=790, train subset=788 (subset_seed=0)
[   1.0s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  18.6s] USVS loaded: 117679 senses, d_axes=607
[  18.6s] pos_vocab=15 role_vocab=40
[  18.6s] policy params: 343,495 (~1.374 MB fp32)
[  18.6s] building features + derivations for 788 train records
[  20.6s] 2856 teacher-forced derivations
[  21.1s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[ 330.5s] epoch 2 step 8100 avg_loss=25.765
[ 332.4s] epoch 2 step 8150 avg_loss=25.736
[ 334.0s] epoch 2 step 8200 avg_loss=25.682
[ 335.9s] epoch 2 step 8250 avg_loss=25.626
[ 337.8s] epoch 2 step 8300 avg_loss=25.586
[ 339.5s] epoch 2 step 8350 avg_loss=25.563
[ 341.5s] epoch 2 step 8400 avg_loss=25.609
[ 343.2s] epoch 2 step 8450 avg_loss=25.570
[ 344.8s] epoch 2 step 8500 avg_loss=25.423
[ 346.6s] epoch 2 step 8550 avg_loss=25.329
[ 347.2s] === epoch 2 done: avg_loss=25.313 (n=2856 derivations) ===
[ 348.5s] epoch 3 step 8600 avg_loss=27.382
[ 350.1s] epoch 3 step 8650 avg_loss=22.470
[ 352.0s] epoch 3 step 8700 avg_loss=21.278
[ 354.1s] epoch 3 step 8750 avg_loss=22.536
[ 355.9s] epoch 3 step 8800 avg_loss=22.492
[ 357.9s] epoch 3 step 8850 avg_loss=22.606
[ 359.5s] epoch 3 step 8900 avg_loss=21.691
[ 361.4s] epoch 3 step 8950 avg_loss=21.773
[ 363.1s] epoch 3 step 9000 avg_loss=22.206
[ 365.2s] epoch 3 step 9050 avg_loss=22.535
[ 367.4s] epoch 3 step 9100 avg_loss=22.669
[ 369.1s] epoch 3 step 9150 avg_loss=22.596
[ 371.1s] epoch 3 step 9200 avg_loss=22.774
[ 372.9s] epoch 3 step 9250 avg_loss=22.620
[ 374.8s] epoch 3 step 9300 avg_loss=22.556
[ 376.8s] epoch 3 step 9350 avg_loss=22.571
[ 378.8s] epoch 3 step 9400 avg_loss=22.453
[ 380.4s] epoch 3 step 9450 avg_loss=22.612
[ 382.6s] epoch 3 step 9500 avg_loss=22.925
